,isbn13,isbn10,title,authors,categories,description,published_year,average_rating,num_pages,ratings_count,cleaned_description
5006,9780804006941,0804006946,A Woman Speaks,Anaïs Nin;Evelyn J. Hinz,Literary Collections,"In this book Anais Nin speaks with warmth and urgency on those themes which have always been closest to her: relationship, creativity, the struggle for wholeness, the unveiling of a woman, the artist as magician, women reconstructing the world, moving from the dream outward, and experiencing our lives to the fullest possible extent.",1975,4,288,184,book anais nin speaks warmth urgency themes always closest her relationship creativity struggle wholeness unveiling woman artist magician women reconstructing world moving dream outward experiencing lives fullest possible extent
5007,9780804104555,0804104557,The 13th directorate,Barry Chubin,Fiction,"Nick Delan, a U.S. secret agent, is ordered to assassinate the man likely to be elected U.S. president, and a top operative planted by the KGB",1989,3,0,8,nick delan u s secret agent ordered assassinate man likely elected u s president top operative planted kgb
5008,9780804111645,0804111642,The Killer Department,Robert Cullen,"Insane, Criminal and dangerous",Describes the murder spree of the Soviet Union's most brutal serial killer and recounts how Rostov detective Viktor Burakov hurdled the obstacles put in his way by an archaic Soviet system in order to bring the killer to justice. Reprint.,1993,4,258,92,describes murder spree soviet union s brutal serial killer recounts rostov detective viktor burakov hurdled obstacles put way archaic soviet system order bring killer justice reprint
5009,9780804114608,0804114609,Patty Jane's House of Curl,Lorna Landvik,Fiction,"Centering around a Minneapolis beauty parlor that also functions as a women's support group, this novel explores the loves, losses, hopes, and victories experienced by Patty Jane and Harriet, two eccentric sisters.",1999,4,304,8741,centering around minneapolis beauty parlor also functions women s support group novel explores loves losses hopes victories experienced patty jane harriet two eccentric sisters
5010,9780804118217,0804118213,Tending Lives,Echo Heron,Medical,"Recounts the dramatic experiences of nurses across the country, from the bombing of the Oklahoma City federal building to a movie set",1998,4,416,381,recounts dramatic experiences nurses across country bombing oklahoma city federal building movie set
5011,9780804119184,080411918X,A Patchwork Planet,Anne Tyler,Fiction,Follows a loveable loser and occasional thief as he tries to reform under the influence of a decent young woman.,2001,4,320,11090,follows loveable loser occasional thief tries reform influence decent young woman
5012,9780804119436,0804119430,Horse Heaven,Jane Smiley,Fiction,"Set in the exciting world of thoroughbred racing, this lavishly detailed novel by the author of A Thousand Acres follows a group of trainers, jockeys, and ""track brats"" on a two-year journey through the racing cycle. Reprint.",2003,4,640,4504,set exciting world thoroughbred racing lavishly detailed novel author thousand acres follows group trainers jockeys track brats two year journey racing cycle reprint
5013,9780804717113,0804717117,The Epic of Gilgamesh,Maureen Gallery Kovacs,Literary Criticism,"Since the discovery over one hundred years ago of a body of Mesopotamian poetry preserved on clay tablets, what has come to be known as the Epic of Gilgamesh has been considered a masterpiece of ancient literature. It recounts the deeds of a hero-king of ancient Mesopotamia, following him through adventures and encounters with men and gods alike. Yet the central concerns of the Epic lie deeper than the lively and exotic story line: they revolve around a man’s eternal struggle with the limitations of human nature, and encompass the basic human feelings of lonliness, friendship, love, loss, revenge, and the fear of oblivion of death. These themes are developed in a distinctly Mesopotamian idiom, to be sure, but with a sensitivity and intensity that touch the modern reader across the chasm of three thousand years. This translation presents the Epic to the general reader in a clear narrative.",1989,4,122,302,since discovery one hundred years ago body mesopotamian poetry preserved clay tablets come known epic gilgamesh considered masterpiece ancient literature recounts deeds hero king ancient mesopotamia following adventures encounters men gods alike yet central concerns epic lie deeper lively exotic story line revolve around mans eternal struggle limitations human nature encompass basic human feelings lonliness friendship love loss revenge fear oblivion death themes developed distinctly mesopotamian idiom sure sensitivity intensity touch modern reader across chasm three thousand years translation presents epic general reader clear narrative
5014,9780804718912,0804718911,The Consequences of Modernity,Anthony Giddens,Social Science,Based on the Raymond Fred West memorial lectures which the author delivered at Stanford University in April 1988.,1990,4,188,559,based raymond fred west memorial lectures author delivered stanford university april 1988
5015,9780804721288,0804721289,Taking God Out of Mathematics and Putting the Body Back in,Brian Rotman,Philosophy,See:,1993,4,224,17,see
5018,9780805016048,080501604X,The Anatomy of Human Destructiveness,Erich Fromm,Psychology,"A study of man's destructive nature that utilizes evidence from psychoanalysis, neurophysiology, animal psychology, paleontology, and anthropology and is documented with clinical examples",1992,4,576,2104,study man s destructive nature utilizes evidence psychoanalysis neurophysiology animal psychology paleontology anthropology documented clinical examples
5019,9780805031492,0805031499,Escape from Freedom,Erich Fromm,Political Science,The author analyzes what he considers to be contemporary man's fear of positive freedom and willingness to submit to totalitarianism.,1994,4,301,6825,author analyzes considers contemporary man s fear positive freedom willingness submit totalitarianism
5020,9780805059335,0805059334,Clown,Quentin Blake,Juvenile Fiction,"After being discarded, Clown makes his way through town having a series of adventures as he tries to find a home for himself and his other toy friends.",1998,4,32,369,discarded clown makes way town series adventures tries find home toy friends
5021,9780805060164,0805060162,Crime and Punishment in America,Elliott Currie,Social Science,Argues that a policy of mass incarceration is ineffective and that prison expenditures could have greater impact on criminal violence if spent on prevention and rehabilitation programs,1998,4,240,65,argues policy mass incarceration ineffective prison expenditures could greater impact criminal violence spent prevention rehabilitation programs
